KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
    2   20   21    1
Estimate
EstimationVariance
 41.145187     0.66001289E-01
 43.764877     0.44860616E-01
 40.737625     0.35644263E-01
 32.582012     0.74055657E-01
 28.821001     0.68544984E-01
 30.431635     0.90722799E-01
 35.358742     0.74684754E-01
 39.708424     0.17849192    
 28.429457     0.79035349E-01
 27.130428     0.68002433E-01
 22.363523     0.43870617E-01
 14.814260     0.27223445E-01
 13.096785     0.25742659E-01
 15.713430     0.41772574E-01
 18.578566     0.89419164E-01
 19.841637     0.91022097E-01
 19.442425     0.10324726    
 20.303036     0.77012822E-01
 21.841700     0.53754814E-01
 25.963615     0.75993143E-01
 34.271183     0.71142949E-01
 40.060562     0.72529785E-01
 39.637329     0.74090116E-01
 34.323219     0.78600481E-01
 30.408566     0.58149077E-01
 29.416874     0.51111091E-01
 33.264317     0.77367701E-01
 36.103561     0.21943735    
 30.304487     0.54732081E-01
 29.030382     0.56138627E-01
 24.120007     0.62812865E-01
 16.982954     0.78282639E-01
 13.399139     0.63182406E-01
 14.663661     0.48931167E-01
 18.910500     0.61533265E-01
 21.106461     0.69148161E-01
 18.785797     0.64461544E-01
 17.779739     0.99175036E-01
 17.522083     0.74530602E-01
 17.660944     0.66706143E-01
 23.069803     0.26880048E-01
 32.173046     0.66438578E-01
 34.967640     0.59552040E-01
 31.352055     0.58309287E-01
 26.967499     0.44303261E-01
 26.794273     0.67787372E-01
 29.668018     0.45129057E-01
 32.692871     0.20466201    
 31.641693     0.96583903E-01
 29.899317     0.68098679E-01
 25.615955     0.48853874E-01
 18.860163     0.83426066E-01
 15.701298     0.92385814E-01
 17.464510     0.57032794E-01
 19.160868     0.71962237E-01
 20.836529     0.48412159E-01
 17.889187     0.39670888E-01
 16.056707     0.66101179E-01
 15.904114     0.97738758E-01
 15.977647     0.85814998E-01
 16.701103     0.67950703E-01
 22.194742     0.73579609E-01
 28.807396     0.70072301E-01
 28.545700     0.30329823E-01
 22.844328     0.30714935E-01
 22.694557     0.61443605E-01
 27.152769     0.66559441E-01
 30.692043     0.16876855    
 32.549774     0.62521353E-01
 30.879740     0.52345142E-01
 27.454361     0.63045911E-01
 21.844320     0.93717679E-01
 18.582273     0.66768885E-01
 20.122938     0.47005378E-01
 21.377050     0.59006300E-01
 17.082851     0.66844210E-01
 14.282890     0.56041371E-01
 13.802523     0.78949861E-01
 14.271606     0.53946465E-01
 14.679045     0.98684862E-01
 14.745959     0.79892568E-01
 17.174572     0.99992752E-01
 22.301893     0.70614420E-01
 27.309902     0.54045025E-01
 24.153648     0.64233184E-01
 22.400341     0.79896718E-01
 24.409430     0.64300261E-01
 27.869398     0.13961160    
 31.865963     0.42889684E-01
 30.642979     0.60676828E-01
 28.330772     0.77613264E-01
 25.221970     0.88520154E-01
 23.310690     0.83777845E-01
 24.087370     0.33562470E-01
 23.331949     0.52448381E-01
 19.211004     0.67084260E-01
 13.870658     0.49660776E-01
 12.082178     0.63426942E-01
 13.089973     0.92225149E-01
 13.729394     0.88326074E-01
 13.745603     0.10416838    
 15.043946     0.93292326E-01
 18.716085     0.95645227E-01
 23.322571     0.83201982E-01
 24.528627     0.91699809E-01
 23.463766     0.87395981E-01
 25.170254     0.73317111E-01
 27.818512     0.42340249E-01
 28.744465     0.47808796E-01
 28.885397     0.87795801E-01
 28.940567     0.70208393E-01
 28.104692     0.71974695E-01
 26.817202     0.65385982E-01
 27.492634     0.72616272E-01
 27.315004     0.67740016E-01
 22.688471     0.79925582E-01
 16.887217     0.40974054E-01
 12.180957     0.51937893E-01
 12.276011     0.49862277E-01
 13.495765     0.82123011E-01
 13.448106     0.73241189E-01
 13.488100     0.10049891    
 15.803104     0.60693655E-01
 19.911400     0.47024667E-01
 21.208214     0.51686533E-01
 21.301550     0.64453058E-01
 24.094801     0.70484310E-01
 26.988792     0.95317997E-01
 26.347578     0.40123254E-01
 25.693022     0.71602248E-01
 28.860054     0.91835782E-01
 32.398521     0.43353710E-01
 31.817814     0.65564670E-01
 29.766788     0.46730224E-01
 28.505589     0.77614293E-01
 25.739851     0.86814284E-01
 19.235540     0.85008323E-01
 12.912806     0.81225544E-01
 11.010698     0.88779151E-01
 13.126586     0.62974349E-01
 13.710941     0.62797233E-01
 12.771186     0.74097991E-01
 14.438183     0.74338615E-01
 18.695465     0.34733288E-01
 20.761700     0.74800454E-01
 19.894260     0.59468448E-01
 21.956089     0.88418938E-01
 25.562801     0.66848636E-01
 25.412968     0.73833019E-01
 23.620579     0.52366283E-01
 25.654188     0.47062587E-01
 32.517525     0.87700449E-01
 36.095982     0.74614190E-01
 32.774685     0.67627482E-01
 30.482590     0.38583044E-01
 28.192148     0.82445480E-01
 22.541359     0.80435090E-01
 14.549969     0.10355134    
 9.9930143     0.80943346E-01
 11.210387     0.10394548    
 13.055951     0.65161400E-01
 12.834002     0.86189017E-01
 14.066372     0.49406450E-01
 17.703537     0.33291433E-01
 21.770479     0.59106901E-01
 23.860338     0.75111859E-01
 24.540192     0.61650597E-01
 26.213428     0.13015334    
 24.617325     0.24297650    
 22.754457     0.82995415E-01
 23.364435     0.45051090E-01
 28.126474     0.66948518E-01
 32.251534     0.15280029    
 33.305355     0.12655123    
 31.221556     0.47054790E-01
 30.760950     0.58348548E-01
 26.252502     0.94676487E-01
 17.787022     0.13558732    
 10.821551     0.85126296E-01
 9.9004049     0.13157959    
 11.752282     0.95412858E-01
 13.717248     0.87394439E-01
 15.456863     0.11349371    
 18.251001     0.44489346E-01
 21.568825     0.53837523E-01
 27.028137     0.36243707E-01
 30.776699     0.32378010E-01
 29.711912     0.17208631    
 23.816143     0.46219170    
 22.839146     0.27722371    
 22.793112     0.16414341    
 24.767782     0.15560094    
 27.613894     0.22059572    
 30.699127     0.25662246    
 33.694820     0.22128998    
 29.782785     0.17847967    
 27.435034     0.16550931    
 21.121315     0.20325744    
 13.963232     0.14100909    
 9.6608820     0.15519013    
 11.366964     0.20461002    
 14.194857     0.20799339    
 15.622887     0.22446415    
 19.398937     0.24493989    
 22.208399     0.18329850    
 26.154541     0.13984075    
 30.706947     0.11392604    
 32.065712     0.21037474    
